,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
37,jamestown,sh,-33.21,138.6,44.09,82.0,0.0,4.14
38,bonthe,sl,7.53,-12.5,80.36,82.0,48.0,5.14
39,bud,no,62.91,6.91,36.21,80.0,75.0,27.51
40,sakaiminato,jp,35.55,133.23,51.8,87.0,90.0,1.12
41,castro,cl,-42.48,-73.76,54.44,92.0,92.0,6.38
44,kamenka,ru,53.19,44.05,-4.25,65.0,0.0,6.38
45,luan,cn,46.36,6.98,40.42,70.0,88.0,4.7
47,kruisfontein,za,-34.0,24.73,63.62,92.0,0.0,10.96
49,khatanga,ru,71.98,102.47,-11.27,74.0,56.0,15.99
50,arraial do cabo,br,-22.97,-42.02,84.87,74.0,0.0,11.41
51,manokwari,id,-0.87,134.08,80.09,100.0,32.0,5.26
53,qaanaaq,gl,77.48,-69.36,-17.12,98.0,0.0,7.05
54,puerto ayora,ec,-0.74,-90.35,86.0,62.0,20.0,13.87
55,guerrero negro,mx,27.97,-114.04,68.84,46.0,24.0,11.74
56,hualmay,pe,-11.1,-77.61,76.04,64.0,0.0,4.14
57,thunder bay,ca,48.41,-89.26,26.6,68.0,90.0,8.05
58,bredasdorp,za,-34.53,20.04,64.4,88.0,88.0,3.36
59,lebu,cl,8.96,38.73,59.0,72.0,75.0,9.17
60,bluff,nz,-23.58,149.07,72.44,90.0,24.0,3.02
61,shingu,jp,33.72,135.99,58.76,97.0,92.0,7.72
62,lima,pe,-12.06,-77.04,71.45,63.0,0.0,2.68
63,arlit,ne,18.74,7.39,74.42,19.0,0.0,8.84
64,sabinas hidalgo,mx,26.51,-100.18,87.56,33.0,0.0,5.7
65,port hardy,ca,50.7,-127.42,44.6,81.0,40.0,5.82
66,ajdabiya,ly,30.75,20.22,54.89,87.0,0.0,6.82
67,ostrovnoy,ru,68.05,39.51,14.21,86.0,80.0,13.87
68,namibe,ao,-15.19,12.15,77.21,100.0,76.0,8.72
69,coquimbo,cl,-29.95,-71.34,69.8,60.0,0.0,13.87
70,thompson,ca,55.74,-97.86,10.4,32.0,75.0,3.36
71,podporozhye,ru,60.91,34.16,28.61,87.0,64.0,15.77
72,airai,pw,-8.93,125.41,67.49,91.0,12.0,1.12
73,saint-pierre,pm,48.95,4.24,28.4,86.0,90.0,13.87
74,pasighat,in,28.06,95.33,50.39,90.0,0.0,2.57
75,putina,pe,-14.91,-69.87,59.0,58.0,40.0,12.75
76,barrow,us,-38.31,-60.23,56.96,100.0,92.0,16.11
77,aklavik,ca,68.22,-135.01,-5.81,70.0,75.0,2.24
78,tarime,tz,-1.35,34.38,67.04,100.0,12.0,2.91
79,polyarnyy,ru,69.2,33.45,19.4,73.0,0.0,8.95
80,flinders,au,-34.58,150.85,60.8,93.0,40.0,5.93
81,manggar,id,-2.88,108.27,73.97,100.0,0.0,1.9
82,hofn,is,64.25,-15.21,40.22,89.0,8.0,11.07
83,saldanha,za,41.42,-6.55,39.68,77.0,8.0,7.94
84,beira,mz,43.2,-8.36,46.29,81.0,40.0,8.05
85,kanungu,ug,-0.9,29.78,59.03,100.0,48.0,2.91
86,half moon bay,us,37.46,-122.43,53.24,71.0,1.0,9.17
87,paamiut,gl,61.99,-49.67,35.36,81.0,56.0,12.19
89,meulaboh,id,4.14,96.13,80.18,100.0,56.0,4.14
90,avarua,ck,-21.21,-159.78,82.4,78.0,40.0,8.05
91,port elizabeth,za,39.31,-74.98,49.3,31.0,1.0,11.41
92,kubrat,bg,43.8,26.5,33.74,98.0,80.0,13.42
93,amahai,id,-3.31,129,80.9,100.0,36.0,4.36
94,saint-philippe,re,45.36,-73.48,18.93,29.0,1.0,4.7
95,la cruz,mx,23.92,-106.89,90.44,26.0,0.0,5.7
96,avera,pf,33.19,-82.53,78.76,19.0,1.0,10.29
97,bontang,id,0.12,117.47,80.09,100.0,56.0,1.9
98,san patricio,mx,-26.98,-56.83,94.67,45.0,0.0,8.39
99,dunedin,nz,-45.87,170.5,59.48,77.0,48.0,8.5
100,varhaug,no,58.61,5.65,32.0,100.0,0.0,6.93
101,hurricane,us,37.18,-113.29,45.25,64.0,1.0,3.36
102,husavik,is,50.56,-96.99,33.38,99.0,88.0,8.95
103,kendal,gb,-6.92,110.2,69.56,100.0,32.0,2.57
104,kahului,us,20.89,-156.47,72.77,100.0,75.0,10.29
105,mar del plata,ar,-46.43,-67.52,67.22,41.0,68.0,29.75
106,dunmore town,bs,25.5,-76.65,74.51,100.0,36.0,8.95
107,tulun,ru,54.56,100.58,16.46,78.0,12.0,3.13
108,yumen,cn,40.29,97.04,39.23,67.0,44.0,10.96
109,puerto leguizamo,co,-0.19,-74.78,89.09,59.0,20.0,3.36
110,carnarvon,au,-30.97,22.13,52.1,17.0,0.0,5.7
111,dzhebariki-khaya,ru,62.22,135.8,-19.55,56.0,56.0,2.68
112,tasiilaq,gl,65.61,-37.64,33.8,80.0,92.0,26.4
113,port augusta,au,-32.49,137.76,51.8,76.0,0.0,6.93
114,quatre cocos,mu,-20.21,57.76,80.6,88.0,40.0,13.87
115,la ronge,ca,55.1,-105.3,12.2,61.0,75.0,11.41
116,watsa,cd,3.04,29.53,65.96,99.0,88.0,4.92
117,georgetown,sh,6.8,-58.16,86.0,55.0,20.0,9.17
118,khandyga,ru,62.65,135.58,-19.55,56.0,56.0,2.68
119,cabo san lucas,mx,22.89,-109.91,80.8,39.0,5.0,5.82
121,new norfolk,au,-42.78,147.06,64.4,55.0,40.0,26.4
122,qandala,so,11.47,49.87,62.63,93.0,0.0,2.13
123,dwarka,in,28.58,77.04,73.4,43.0,24.0,4.92
124,nizip,tr,37.01,37.79,50.0,76.0,0.0,2.24
125,ribeira grande,pt,38.52,-28.7,62.81,97.0,20.0,10.07
126,leningradskiy,ru,69.38,178.42,-7.4,93.0,68.0,4.59
127,okhtyrka,ua,50.31,34.89,10.7,79.0,88.0,14.43
128,anamur,tr,36.08,32.84,59.48,83.0,68.0,7.27
129,ust-nera,ru,64.57,143.24,-25.94,35.0,32.0,2.24
130,hobart,au,-42.88,147.33,64.4,55.0,40.0,26.4
131,kholmsk,ru,47.05,142.05,32.0,84.0,75.0,8.95
132,farafangana,mg,-22.82,47.83,75.05,100.0,100.0,19.69
133,luderitz,na,-26.65,15.16,60.8,87.0,0.0,16.11
134,dikson,ru,73.51,80.55,-5.96,100.0,48.0,34.78
135,palmer,us,-34.85,139.16,64.4,63.0,75.0,14.99
136,kodiak,us,39.95,-94.76,42.8,75.0,90.0,4.7
137,east london,za,-33.02,27.91,74.42,93.0,0.0,17.56
138,kalianget,id,-7.35,109.91,65.42,92.0,12.0,1.12
139,ahipara,nz,-35.17,173.16,69.38,88.0,36.0,12.86
140,san carlos de bariloche,ar,-41.13,-71.31,53.6,54.0,40.0,21.92
141,aktau,kz,43.65,51.16,46.4,100.0,90.0,13.42
142,port shepstone,za,-30.74,30.45,73.07,92.0,36.0,17.67
143,norman wells,ca,65.28,-126.83,14.0,85.0,90.0,5.82
144,mardin,tr,37.32,40.72,55.4,50.0,56.0,8.05
145,jalu,ly,29.03,21.55,63.08,37.0,0.0,9.73
146,arani,bo,13.33,80.08,80.6,78.0,20.0,3.36
147,tiksi,ru,71.64,128.87,-42.23,0.0,12.0,2.8
148,portland,au,45.52,-122.67,48.69,61.0,90.0,3.36
149,severo-kurilsk,ru,50.68,156.12,23.03,100.0,0.0,6.93
150,kikwit,cd,-5.04,18.82,76.04,77.0,48.0,9.95
151,pendleton,us,34.65,-82.78,72.19,33.0,1.0,4.7
152,damietta,eg,31.42,31.81,59.12,79.0,0.0,4.14
153,tiarei,pf,-17.53,-149.33,84.2,70.0,75.0,4.7
155,pevek,ru,69.7,170.27,-19.73,100.0,24.0,8.95
156,mumford,gh,5.26,-0.76,80.36,84.0,0.0,11.97
157,champasak,la,14.89,105.88,71.45,92.0,0.0,1.12
159,longfeng,cn,31.05,103.87,57.2,93.0,0.0,4.47
160,cape town,za,-33.93,18.42,66.2,88.0,0.0,17.22
162,gizo,sb,31.8,34.94,69.08,52.0,0.0,1.12
163,ituango,co,7.17,-75.76,70.64,91.0,56.0,1.9
164,penzance,gb,50.12,-5.53,29.35,86.0,20.0,21.92
165,hermanus,za,-34.42,19.24,59.57,93.0,80.0,1.34
166,banjar,id,-7.37,108.54,66.77,94.0,0.0,2.24
167,bayburt,tr,40.26,40.22,33.29,75.0,44.0,3.58
168,ochakiv,ua,46.61,31.55,23.0,92.0,75.0,8.95
170,belogorsk,ru,45.06,34.59,45.8,90.0,64.0,1.57
171,balkanabat,tm,39.51,54.36,38.69,91.0,32.0,1.9
172,bambous virieux,mu,-20.34,57.76,80.6,88.0,40.0,13.87
173,vaitape,pf,-16.52,-151.75,82.88,98.0,64.0,13.98
174,pangnirtung,ca,66.15,-65.72,12.2,56.0,40.0,11.41
176,muros,es,42.77,-9.06,44.6,81.0,40.0,5.82
177,vostok,ru,46.45,135.83,8.72,54.0,56.0,9.62
178,katsuura,jp,33.93,134.5,56.3,100.0,75.0,3.36
179,rio gallegos,ar,-51.62,-69.22,60.8,36.0,40.0,33.33
180,chingola,zm,-12.55,27.86,68.75,75.0,36.0,5.7
181,shostka,ua,51.86,33.47,6.02,81.0,48.0,10.07
182,iskitim,ru,54.64,83.3,19.4,73.0,0.0,8.95
183,koslan,ru,63.46,48.9,-2.99,73.0,68.0,6.38
184,parana,br,-7.52,-72.89,82.4,69.0,75.0,3.47
185,atbasar,kz,51.81,68.36,27.71,89.0,24.0,13.87
186,leh,in,34.16,77.58,-11.09,66.0,56.0,1.68
187,sehithwa,bw,-20.47,22.7,71.99,75.0,36.0,3.58
188,yellowknife,ca,62.45,-114.38,17.6,67.0,20.0,13.87
189,vardo,no,39.62,-77.74,54.46,20.0,1.0,10.29
190,butaritari,ki,3.07,172.79,81.08,100.0,20.0,7.61
191,acapulco,mx,16.86,-99.88,82.4,69.0,75.0,6.93
193,nanortalik,gl,60.14,-45.24,34.37,88.0,36.0,43.84
194,talavera,pe,15.58,120.92,77.0,78.0,75.0,1.12
196,inzai,jp,35.8,140.18,47.5,87.0,75.0,2.24
197,kutum,sd,14.2,24.66,58.76,22.0,0.0,7.72
198,mahebourg,mu,-20.41,57.7,80.6,88.0,40.0,13.87
199,ponta do sol,cv,-20.63,-46,78.11,79.0,0.0,2.91
200,garowe,so,8.41,48.48,71.18,59.0,0.0,10.4
202,montepulciano,it,43.09,11.78,48.2,93.0,75.0,5.82
203,bandarbeyla,so,9.49,50.81,78.2,100.0,0.0,8.5
204,luanda,ao,-8.83,13.24,80.6,83.0,40.0,5.82
205,yarada,in,17.65,83.27,81.44,100.0,0.0,10.18
206,kangaatsiaq,gl,68.31,-53.46,17.9,96.0,0.0,7.16
207,komsomolskiy,ru,67.55,63.78,-11.63,74.0,44.0,11.18
208,rodrigues alves,br,-7.74,-72.65,82.4,69.0,75.0,3.47
209,dongsheng,cn,29.72,112.52,44.36,94.0,80.0,10.51
210,esperance,au,10.24,-61.45,87.8,48.0,20.0,14.99
211,salalah,om,17.01,54.1,77.0,78.0,40.0,2.24
212,san rafael,ar,-34.61,-68.33,78.38,8.0,0.0,1.34
214,grand gaube,mu,-20.01,57.66,80.6,88.0,40.0,13.87
215,saskylakh,ru,71.97,114.09,-26.75,41.0,8.0,15.66
216,bo rai,th,12.57,102.54,71.18,94.0,36.0,1.23
217,robertsport,lr,6.75,-11.37,80.09,98.0,48.0,9.51
218,usinsk,ru,66.0,57.56,-10.37,70.0,68.0,3.02
219,kaitangata,nz,-46.28,169.85,64.61,70.0,20.0,11.41
220,xocali,az,39.91,46.79,41.3,77.0,0.0,1.68
221,sistranda,no,63.73,8.83,37.4,93.0,75.0,32.21
223,hastings,us,-39.64,176.84,64.34,97.0,92.0,10.96
224,los llanos de aridane,es,28.66,-17.92,68.0,68.0,40.0,13.87
225,hirara,jp,24.8,125.28,71.72,100.0,92.0,10.07
226,coihaique,cl,-45.58,-72.07,54.41,58.0,75.0,12.75
227,lagoa,pt,37.14,-8.45,55.4,71.0,20.0,10.29
228,cidreira,br,-30.17,-50.22,83.24,75.0,12.0,8.39
230,loandjili,cg,-4.77,11.87,84.2,70.0,20.0,9.17
231,noyabrsk,ru,63.2,75.45,13.13,88.0,80.0,6.82
232,richards bay,za,-28.77,32.06,69.11,82.0,8.0,7.05
233,port alfred,za,-33.59,26.89,70.91,86.0,0.0,10.18
234,naze,jp,5.43,7.07,84.2,74.0,75.0,8.05
235,zhigalovo,ru,54.81,105.15,11.78,71.0,36.0,2.13
236,clearlake,us,38.96,-122.63,47.32,70.0,1.0,3.36
237,necochea,ar,-38.55,-58.74,60.02,94.0,92.0,14.32
238,tuatapere,nz,-46.13,167.69,64.34,84.0,76.0,19.46
239,nadvoitsy,ru,63.89,34.27,31.67,84.0,80.0,12.75
240,torbay,ca,47.66,-52.73,32.0,94.0,90.0,28.86
241,prokopyevsk,ru,53.89,86.74,8.0,59.0,0.0,2.68
242,yerbogachen,ru,61.28,108.01,22.04,90.0,92.0,7.83
243,north bend,us,43.41,-124.22,50.0,66.0,75.0,8.05
244,tura,ru,25.52,90.21,57.41,67.0,0.0,3.47
245,lata,sb,30.78,78.62,43.19,56.0,8.0,3.02
246,praia da vitoria,pt,38.73,-27.07,62.27,98.0,68.0,13.53
248,emba,kz,34.81,32.42,60.26,66.0,0.0,8.05
249,thai binh,vn,20.45,106.33,71.99,95.0,92.0,7.83
250,faanui,pf,-16.48,-151.75,82.43,100.0,76.0,14.76
251,quetta,pk,30.19,67.02,35.72,74.0,0.0,1.79
252,sibolga,id,1.74,98.78,68.48,100.0,20.0,1.9
254,bensonville,lr,6.45,-10.61,80.6,88.0,40.0,9.17
255,nongan,cn,44.43,125.17,26.6,45.0,0.0,8.95
256,christchurch,nz,-43.53,172.64,60.8,87.0,8.0,9.17
257,ballina,au,54.11,-9.15,32.0,81.0,75.0,11.41
258,riyadh,sa,24.63,46.72,69.8,14.0,0.0,4.7
259,cherskiy,ru,68.75,161.3,-10.73,55.0,32.0,9.4
260,vao,nc,59.1,26.19,26.72,86.0,0.0,13.42
261,saint george,bm,39.45,22.34,60.8,41.0,20.0,11.41
262,matamoros,mx,25.87,-97.51,86.0,58.0,90.0,8.05
263,ponta delgada,pt,37.73,-25.67,62.6,93.0,40.0,12.75
264,te anau,nz,-45.41,167.72,61.91,70.0,56.0,17.78
265,felipe carrillo puerto,mx,19.58,-88.05,92.87,40.0,0.0,8.72
266,aripuana,br,-9.17,-60.63,85.49,72.0,36.0,2.91
268,comodoro rivadavia,ar,-45.87,-67.48,68.0,30.0,0.0,33.33
269,athabasca,ca,54.72,-113.29,28.79,97.0,68.0,4.36
270,birur,in,13.62,75.97,64.61,96.0,20.0,1.12
271,nishihara,jp,35.74,139.53,49.78,81.0,75.0,3.36
272,basco,ph,40.33,-91.2,46.76,65.0,90.0,9.17
273,zavetnoye,ru,47.12,43.89,24.92,92.0,88.0,16.78
274,caravelas,br,-17.73,-39.27,82.34,100.0,0.0,12.86
275,baykit,ru,61.68,96.39,23.66,86.0,68.0,6.71
276,mabaruma,gy,8.2,-59.78,82.79,63.0,0.0,8.95
278,kavieng,pg,-2.57,150.8,82.25,100.0,88.0,13.98
279,ilulissat,gl,69.22,-51.1,23.0,79.0,20.0,4.7
280,beyneu,kz,45.32,55.19,37.52,92.0,8.0,8.5
281,victoria,sc,5.28,115.24,78.82,94.0,75.0,5.7
282,umea,se,63.83,20.26,33.8,80.0,0.0,6.93
283,san cristobal,ec,-0.39,-78.55,66.2,42.0,75.0,8.05
284,port blair,in,11.67,92.75,82.7,100.0,0.0,9.4
285,nhulunbuy,au,-12.18,136.78,75.2,94.0,75.0,5.82
286,kieta,pg,-6.22,155.63,74.06,100.0,92.0,3.69
287,road town,vg,18.42,-64.62,80.46,61.0,20.0,6.93
288,olinda,br,-2.03,-79.75,84.2,70.0,75.0,6.93
289,orange cove,us,36.62,-119.31,53.96,58.0,1.0,3.69
290,swan river,ca,52.11,-101.27,21.32,88.0,76.0,7.61
293,cayenne,gf,4.94,-52.33,80.6,83.0,80.0,5.82
295,sur,om,22.57,59.53,74.33,95.0,0.0,6.38
296,progreso,mx,-34.68,-56.22,66.2,93.0,90.0,17.22
297,kloulklubed,pw,7.04,134.26,80.6,74.0,90.0,5.82
298,deming,us,32.27,-107.76,56.53,34.0,75.0,27.51
299,eenhana,na,-17.48,16.34,70.28,89.0,88.0,6.38
301,saint-joseph,re,43.56,6.97,48.92,87.0,0.0,3.36
302,urubamba,pe,-13.31,-72.12,64.4,39.0,75.0,2.24
303,upernavik,gl,72.79,-56.15,5.39,93.0,32.0,20.24
304,yulara,au,-25.24,130.99,68.0,52.0,0.0,5.82
305,bethel,us,60.79,-161.76,28.4,92.0,90.0,10.29
306,iqaluit,ca,63.75,-68.52,17.6,72.0,75.0,2.24
308,vila velha,br,-3.71,-38.6,86.0,66.0,20.0,10.29
309,hovd,mn,63.83,10.7,36.41,93.0,75.0,35.57
310,torrington,us,42.06,-104.18,45.14,61.0,90.0,14.99
311,kunnamangalam,in,11.3,75.88,77.0,78.0,75.0,2.24
312,tarakan,id,3.3,117.63,80.18,100.0,12.0,3.91
313,prince rupert,ca,54.32,-130.32,44.6,81.0,90.0,4.7
314,fortuna,us,38.18,-1.13,57.2,44.0,20.0,11.41
315,dankov,ru,53.25,39.16,-10.55,53.0,0.0,3.91
316,tuktoyaktuk,ca,69.44,-133.03,-10.54,76.0,90.0,8.05
317,north platte,us,41.12,-100.77,44.6,70.0,90.0,16.11
318,alice springs,au,-23.7,133.88,69.8,56.0,12.0,6.93
319,payakumbuh,id,-0.23,100.63,70.19,99.0,68.0,1.45
322,sandnessjoen,no,66.02,12.63,32.67,92.0,75.0,3.36
323,maumere,id,-8.63,122.22,79.73,100.0,20.0,1.9
324,kavaratti,in,10.57,72.64,82.16,100.0,0.0,3.13
325,mareeba,au,-16.99,145.42,78.8,78.0,20.0,10.29
326,aracuai,br,-16.85,-42.07,82.79,52.0,68.0,5.7
327,faya,td,18.39,42.45,64.4,45.0,0.0,1.57
329,pangody,ru,65.85,74.49,-5.69,70.0,32.0,7.94
330,kiunga,pg,-6.12,141.3,72.44,99.0,92.0,2.35
331,lavrentiya,ru,65.58,-170.99,22.22,100.0,88.0,9.62
332,hambantota,lk,6.12,81.12,81.44,100.0,12.0,11.63
333,tigil,ru,57.8,158.67,10.34,86.0,68.0,3.02
335,buala,sb,-8.15,159.59,80.9,98.0,20.0,4.7
336,forio,it,40.73,13.86,53.06,71.0,40.0,8.05
337,jining,cn,35.41,116.58,42.56,96.0,92.0,6.6
338,vermilion,ca,53.35,-110.85,24.8,92.0,90.0,9.17
340,oranjemund,na,-28.55,16.43,62.09,94.0,92.0,16.22
341,beaverton,ca,45.49,-122.8,49.3,62.0,75.0,3.36
342,camacha,pt,33.08,-16.33,63.63,77.0,40.0,8.05
343,kirakira,sb,-10.46,161.92,79.1,100.0,88.0,8.72
344,guilin,cn,25.28,110.29,57.2,93.0,90.0,13.42
345,port lincoln,au,-34.72,135.86,65.42,91.0,88.0,15.66
346,havelock,us,34.88,-76.9,59.76,36.0,1.0,13.87
347,sijunjung,id,-0.69,100.95,69.29,96.0,44.0,1.68
348,kyaikkami,mm,16.08,97.57,67.94,91.0,0.0,2.01
349,cortez,us,37.35,-108.58,30.2,92.0,90.0,13.87
350,samarai,pg,-10.62,150.67,77.3,100.0,92.0,5.26
351,yuanping,cn,38.72,112.71,29.96,88.0,88.0,1.12
352,kahta,tr,37.78,38.62,57.2,54.0,0.0,4.7
353,kunstat,cz,49.51,16.52,20.88,62.0,0.0,14.99
354,virginia beach,us,36.85,-75.98,50.85,39.0,1.0,6.93
355,nouadhibou,mr,20.93,-17.03,66.2,72.0,0.0,21.92
356,sandovo,ru,58.46,36.41,21.5,85.0,76.0,10.85
357,safford,us,32.83,-109.71,57.2,41.0,1.0,25.28
358,laguna,br,27.52,-110.01,77.0,23.0,40.0,11.41
359,qorveh,ir,35.17,47.8,26.09,71.0,0.0,1.9
360,carmen,mx,7.2,124.8,74.69,81.0,80.0,2.68
361,ponta do sol,pt,-20.63,-46,78.11,79.0,0.0,2.91
362,mantamados,gr,39.31,26.33,60.28,72.0,40.0,11.41
363,puerto carreno,co,6.19,-67.49,98.6,35.0,40.0,4.7
364,bocas del toro,pa,9.33,-82.25,80.72,100.0,0.0,7.72
365,ciudad bolivar,ve,8.12,-63.55,94.94,26.0,0.0,15.1
366,kenai,us,60.55,-151.26,37.44,93.0,90.0,6.93
367,buzdyak,ru,54.57,54.53,7.46,82.0,56.0,16.78
368,gat,ly,14.69,-16.54,85.58,24.0,0.0,13.42
369,geraldton,au,49.72,-86.95,17.6,28.0,75.0,11.41
370,chuy,uy,-33.69,-53.46,72.8,100.0,76.0,21.7
371,yatou,cn,3.63,9.81,80.6,88.0,40.0,2.24
372,pavlodar,kz,52.28,76.96,23.0,92.0,0.0,11.18
373,morro bay,us,35.37,-120.85,54.99,50.0,1.0,5.82
374,porto novo,cv,-23.68,-45.44,86.0,58.0,20.0,8.05
376,pontes e lacerda,br,-15.23,-59.33,84.59,76.0,24.0,7.27
377,mount gambier,au,-37.83,140.78,62.99,82.0,92.0,10.63
378,svetlaya,ru,46.54,138.33,22.22,100.0,0.0,23.04
380,fulton,us,43.32,-76.42,30.02,57.0,90.0,3.36
381,ampanihy,mg,-24.69,44.75,76.94,67.0,0.0,10.85
382,kumo,ng,10.05,11.21,73.61,39.0,0.0,2.46
383,ikalamavony,mg,-21.17,46.6,62.36,98.0,92.0,2.68
384,mortka,ru,59.33,66.02,30.59,94.0,88.0,7.38
386,roald,no,62.58,6.12,34.3,93.0,75.0,24.16
387,opuwo,na,-18.06,13.84,67.58,82.0,80.0,2.46
388,bowral,au,-34.48,150.42,60.8,93.0,40.0,3.24
389,cockburn town,tc,21.46,-71.14,75.59,100.0,56.0,4.14
390,vievis,lt,54.77,24.82,26.6,53.0,0.0,3.36
392,hanyang,cn,32.14,105.51,49.49,70.0,88.0,5.37
393,tabat,sd,-2.64,115.23,74.96,95.0,64.0,1.45
394,buraydah,sa,26.33,43.97,71.6,28.0,0.0,9.17
395,sesvete,hr,45.83,16.11,31.03,97.0,90.0,11.41
396,zhangye,cn,38.94,100.46,26.81,70.0,0.0,3.69
397,moose factory,ca,51.26,-80.61,5.0,54.0,90.0,12.75
398,jinka,et,5.79,36.57,60.11,92.0,0.0,2.57
399,hasaki,jp,35.73,140.83,45.28,87.0,75.0,2.24
400,hastings,nz,-39.64,176.84,64.34,97.0,92.0,10.96
402,beringovskiy,ru,63.05,179.32,11.78,99.0,76.0,21.03
403,alugan,ph,12.22,125.48,77.75,100.0,92.0,4.03
404,san-pedro,ci,4.75,-6.64,79.64,84.0,0.0,10.74
405,tymovskoye,ru,50.85,142.66,10.61,77.0,68.0,10.74
406,nantucket,us,41.28,-70.1,30.58,22.0,1.0,18.34
407,bosaso,so,11.28,49.18,76.58,100.0,0.0,1.79
408,ust-kuyga,ru,70.0,135.55,-38.27,78.0,12.0,2.13
409,charters towers,au,-20.07,146.27,69.83,94.0,48.0,3.24
410,srivardhan,in,18.03,73.02,74.78,85.0,8.0,3.24
411,la tuque,ca,47.44,-72.79,16.28,50.0,24.0,7.61
412,talnakh,ru,69.49,88.39,-2.63,72.0,76.0,16.11
413,sabha,ly,27.03,14.43,56.96,18.0,0.0,5.7
414,sakhnovshchyna,ua,49.15,35.87,15.38,85.0,92.0,19.01
415,aksha,ru,50.28,113.29,15.74,77.0,0.0,2.57
416,umm lajj,sa,25.02,37.27,65.96,96.0,0.0,3.13
418,broken hill,au,-31.97,141.45,53.09,67.0,0.0,9.62
419,codrington,ag,-28.95,153.24,64.43,94.0,0.0,2.46
420,forbes,au,-33.38,148.01,52.64,72.0,0.0,2.91
421,pontianak,id,-0.02,109.34,77.12,100.0,48.0,2.46
422,xining,cn,36.62,101.77,24.47,96.0,44.0,2.68
423,saint-georges,gf,46.12,-70.67,15.56,51.0,64.0,9.73
424,kathu,th,-27.7,23.05,63.35,85.0,0.0,9.51
425,eufaula,us,31.89,-85.15,79.65,57.0,1.0,8.05
426,hit,iq,33.64,42.83,51.29,36.0,32.0,2.91
427,sokoto,ng,13.06,5.24,74.69,45.0,0.0,4.47
428,ulaangom,mn,49.98,92.07,5.48,88.0,0.0,2.35
429,chicama,pe,-7.84,-79.15,71.6,83.0,75.0,8.05
430,upata,ve,8.02,-62.41,90.71,28.0,0.0,9.62
431,sale,au,53.42,-2.32,32.38,76.0,90.0,12.75
432,langarud,ir,37.2,50.15,50.88,76.0,0.0,4.7
433,abadan,ir,30.36,48.26,66.9,42.0,0.0,4.7
434,dobryanka,ua,58.45,56.42,5.0,77.0,75.0,13.42
435,lasa,cn,34.92,32.53,60.17,66.0,0.0,8.05
436,tabuk,sa,17.41,121.44,64.34,97.0,56.0,1.68
438,batticaloa,lk,7.71,81.69,80.81,99.0,92.0,7.38
439,at-bashi,kg,41.17,75.81,9.08,75.0,0.0,2.68
440,gornopravdinsk,ru,60.06,69.92,32.66,87.0,92.0,12.97
441,lucapa,ao,-8.42,20.74,66.14,97.0,64.0,2.91
442,shieli,kz,44.18,66.74,34.19,89.0,8.0,0.22
443,molchanovo,ru,57.58,83.76,18.62,84.0,12.0,10.63
444,mombetsu,jp,44.35,143.35,35.81,80.0,24.0,16.22
445,bartlesville,us,36.75,-95.98,62.28,47.0,90.0,8.05
446,fort saint james,ca,54.43,-124.25,42.11,64.0,12.0,3.13
